datetime_UTC,longitude,latitude,water_level,quality_water_level
2017-07-24T20:17:07.556000,-53.093545,47.630819,-0.026,1
2017-07-24T20:17:08.554000,-53.050173,47.588036,-0.001,1
2017-08-01T10:35:22.875000,-53.132227,47.627613,-0.299,1
2017-08-01T10:35:23.873000,-53.088786,47.670372,-0.272,1
2017-08-01T10:35:24.871000,-53.045266,47.713111,-0.267,1
2017-08-01T10:35:25.869000,-53.001669,47.75583,-0.265,0
2017-08-01T10:35:26.867000,-52.957994,47.798529,-0.219,0
2017-08-01T10:35:27.865000,-52.91424,47.841207,-0.212,0
2017-08-10T16:47:19.364000,-52.960656,47.874222,-0.357,1
2017-08-10T16:47:20.362000,-52.916842,47.831551,-0.368,0
2017-08-10T16:47:21.359000,-52.873107,47.78886,-0.408,1
2017-12-15T14:41:35.738000,-53.125915,47.585015,-0.253,1
2018-01-01T11:11:48.817000,-52.935158,47.774851,0.731,0
2018-03-05T22:08:53.603000,-53.067339,47.683742,-0.062,1
2018-03-13T12:27:09.958000,-53.066543,47.609024,-0.237,1
2018-03-13T12:27:10.956000,-53.023122,47.651797,-0.162,1
2018-03-13T12:27:11.954000,-52.979622,47.694549,-0.217,1
2018-03-13T12:27:12.952000,-52.936046,47.737281,-0.238,0
2018-03-13T12:27:13.950000,-52.892391,47.779993,-0.216,1
2018-03-13T12:27:14.948000,-52.848658,47.822685,-0.202,1
2018-03-22T18:39:07.503000,-52.85294,47.840881,-0.32,1
2018-05-25T05:36:15.871000,-52.988784,47.744252,0.123,0
2018-05-25T05:36:16.868000,-52.945208,47.701531,0.175,1
2018-07-27T16:33:11.592000,-53.076291,47.655994,-0.39,1
2018-08-04T06:51:25.861000,-53.112989,47.601588,-0.292,1
2018-08-04T06:51:26.859000,-53.069596,47.644359,-0.337,1
2018-08-04T06:51:27.857000,-53.026126,47.68711,-0.288,1
2018-08-04T06:51:28.855000,-52.982578,47.729841,-0.287,0
2018-08-04T06:51:29.853000,-52.938952,47.772552,-0.238,0
2018-08-04T06:51:30.851000,-52.895248,47.815242,-0.232,1
2018-08-04T06:51:31.849000,-52.851466,47.857913,-0.229,1
2018-08-13T13:03:23.234000,-52.888686,47.851475,0.381,0
2018-08-13T13:03:24.232000,-52.844914,47.808795,0.399,1
2018-10-16T00:00:31.552000,-53.02069,47.745535,0.008,0
2018-10-16T00:00:32.549000,-52.977106,47.702806,0.013,1
2018-12-18T10:57:37.862000,-53.084942,47.595041,0.116,1
2018-12-26T01:15:54.386000,-53.077836,47.710981,0.602,1
2018-12-26T01:15:55.384000,-53.034239,47.753702,0.645,0
2018-12-26T01:15:56.382000,-52.990565,47.796403,0.657,0
2018-12-26T01:15:57.380000,-52.946812,47.839083,0.692,0
2019-06-13T22:24:42.713000,-53.069367,47.730031,0.027,1
2019-08-16T09:21:51.348000,-53.131896,47.558082,-0.094,1
